Unnamed: 0,Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,60,EBA,1,1583,La Sierra,"Escuela N° 45, Sala Informática",149,S,Rural,87,EDC,9601,Castillos,Jardín de Infantes 104 - Freire y 25 de Agosto al fondo,405,Urb.,118,EEA,17400,17834,Lascano,"Escuela N° 93 - Rincón c/19 de Abril - a la derecha, SalónInicial",397,N,147,EFB,18138,18565,Chuy,"Liceo N° 1 - Gral. Artigas y Gaboto, a la izquierda",400,file
15.0,EAA,40804.0,41877.0,ROCHA,B.P.S. por Callejuela Sención a la izquierda,400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
16.0,EAA,41878.0,42519.0,ROCHA,UNITEC - Sención c/19 de Abril a la derecha,400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
17.0,EAA,42520.0,43159.0,ROCHA,Espacio Arte y C.J. - Sención c/19 de Abril a la izquierda,400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
18.0,EAA,43160.0,43835.0,ROCHA,INAU - Por Rodó 87,400.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
19.0,EAA,43836.0,44727.0,ROCHA,Junta Departamental por Lavalleja,400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
20.0,EAA,44728.0,45530.0,ROCHA,Sede Retirados Militares - J. Graña N° 172,400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
21.0,EAA,45531.0,46106.0,ROCHA,Oficina de Vialidad - Rodó N° 114,400.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
22.0,EAA,46107.0,46844.0,ROCHA,Jardín de Infantes 108 - Treinta y Tres N° 1991,400.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
23.0,EAA,46845.0,47466.0,ROCHA,Escuela Varela - Rincón N° 140 a la izquierda,400.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
32.0,,,,,,,,,,EAA,52698.0,53291.0,ROCHA,Ctro. Cultural Ma. Elida Marquizo - por 18 de Julio N° 2097,400.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
33.0,,,,,,,,,,EAA,53292.0,53817.0,ROCHA,Ctro. Cultural Ma. Elida Marquizo - por 19 de Abril c/18 de Julio,400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
