Unnamed: 0,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
32,HAB,34990,36290,Centro,"Liceo N°1 -Sala 19, Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
33,HAB,36291,37377,Centro,"Liceo N°1 -Sala 20, Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
34,HAB,37378,38547,Centro,"Escuela N°2 -Salón 1, General Artigas N°926",410,S,U,planes_circuitales\Rivera.pdf
35,HAB,38548,39672,Centro,"Escuela N°2 - Salón 2, General Artigas N°926",410,S,U,planes_circuitales\Rivera.pdf
36,HAB,39673,41231,Centro,"Escuela N°2 - Salón 3, General Artigas N°926",410,S,U,planes_circuitales\Rivera.pdf
37,HAB,41232,42158,Centro,"Escuela N°2 - Salón 4, General Artigas N°926",410,S,U,planes_circuitales\Rivera.pdf
38,HAB,42159,43100,Centro,"Escuela N°2 - Salón 5, General Artigas N°926",410,S,U,planes_circuitales\Rivera.pdf
39,HAB,43101,44010,Centro,"Escuela N°2 - Salón 6, General Artigas N°926",410,S,U,planes_circuitales\Rivera.pdf
40,HAB,44011,45090,Centro,Escuela N°1 P/B - José E. Rodó N°927,410,N,U,planes_circuitales\Rivera.pdf
41,HAB,45091,46146,Centro,Escuela N°1 P/B - José E. Rodó N°927,410,N,U,planes_circuitales\Rivera.pdf
42,HAB,46147,47153,Centro,Escuela N°1 P/B - José E. Rodó N°927,410,N,U,planes_circuitales\Rivera.pdf
43,HAB,47154,48103,Centro,Escuela N°1 P/B - José E. Rodó N°927,410,N,U,planes_circuitales\Rivera.pdf
44,HAB,48104,48951,Centro,Escuela N°1 P/B - José E. Rodó N°927,410,N,U,planes_circuitales\Rivera.pdf
45,HAB,48952,49776,Centro,"Liceo N°6 - Sala 1, Fructuoso Rivera y F. Sánchez",410,S,U,planes_circuitales\Rivera.pdf
46,HAB,49777,50676,Centro,"Liceo N°6 - Sala 2, Fructuoso Rivera y F. Sánchez",410,S,U,planes_circuitales\Rivera.pdf
47,HAB,50677,51409,Centro,"Liceo N°6 - Sala 3, Fructuoso Rivera y F. Sánchez",410,S,U,planes_circuitales\Rivera.pdf
48,HAB,51410,52137,Centro,"Liceo N°6 - Sala 4, Fructuoso Rivera y F. Sánchez",410,S,U,planes_circuitales\Rivera.pdf
