Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
128,QDD,6218,6780,Gral. Artigas S/N (Entrada principal),Escuela No 45 - Fray Marcos,320.0,NO,Rural,planes_circuitales\Florida.pdf
129,QDD,6781,7244,Gral. Artigas S/N (Entrada principal),Escuela No 45 - Fray Marcos,320.0,NO,Rural,planes_circuitales\Florida.pdf
130,QDD,7245,7648,Gral. Artigas S/N  (Entrada por la Plaza),Escuela No 45 -  Fray Marcos,320.0,NO,Rural,planes_circuitales\Florida.pdf
131,QDD,7649,8015,Gral. Artigas S/N  (Entrada por la Plaza),Escuela No 45 - Fray Marcos,320.0,NO,Rural,planes_circuitales\Florida.pdf
132,QDD,8016,8359,Independencia 1081,Liceo Fray Marcos,320.0,SI,Rural,planes_circuitales\Florida.pdf
133,QDD,8360,8687,Independencia 1081,Liceo Fray Marcos,320.0,SI,Rural,planes_circuitales\Florida.pdf
134,QDE,1,1149,Ramón Juani y Ruta 7,Escuela No 26 - Reboledo,379.0,SI,Rural,planes_circuitales\Florida.pdf
135,QEA Sta.Lucía Chic,1,516,Ruta 6 Km 123.500,Escuela No 98 - Tornero,4.0,SI,Rural,planes_circuitales\Florida.pdf
,QEB Tornero,1,334,15,,,,,planes_circuitales\Florida.pdf
136,QEC,1,1153,Ruta 5 Km 100,Escuela No 62 - Talita,88.0,SI,Rural,planes_circuitales\Florida.pdf
137,QED,1,943,Camino Vecinal a La Macana,Escuela No 32 - San Gerónimo,117.0,SI,Rural,planes_circuitales\Florida.pdf
138,QEF,1,2045,Ruta 7 Km 142.500,Escuela No 17 -  Cerro Colorado,300.0,SI,Rural,planes_circuitales\Florida.pdf
,QEG Cerro Copetón,1,515,19,,,,,planes_circuitales\Florida.pdf
139,QEF,2046,2632,Ruta 7 Km 142.500,Escuela No 17 -  Cerro Colorado,317.0,SI,Rural,planes_circuitales\Florida.pdf
140,QEF,2633,3026,Ruta 7 Km 142.500,Liceo  Cerro Colorado,317.0,NO,Rural,planes_circuitales\Florida.pdf
141,QEF,3027,3361,Ruta 7 Km 142.500,Liceo  Cerro Colorado,317.0,NO,Rural,planes_circuitales\Florida.pdf
142,QFA,1,3626,Ruta 6 Km 182 y Av. Centenario,Escuela No 28 - Capilla del Sauce,300.0,SI,Rural,planes_circuitales\Florida.pdf
,QGA La Palma,1,340,13,,,,,planes_circuitales\Florida.pdf
143,QFA,3627,4153,Ruta 6 Km 182 y Av. Centenario,Escuela No 28 -  Capilla del Sauce,334.0,SI,Rural,planes_circuitales\Florida.pdf
