Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,Unnamed: 0,MAA,57868,58530,Mercedes,Club El Remanso - Cassinoni y Paysandú,400,N,Urbano,77468,77946,"Escuela No 104, Giménez 797",S,MBA,2635,3149,Villa Soriano,"Escuela No 6, Villa Soriano",289,Rural,MCA,31497,32003,Dolores,"Escuela No 2, Puig 1552",410,MED,1,920,San Martín,"Escuela No 34, San Martin",65,MGA,532,Arroyo Corto,"Escuela No 74, Arroyo Corto",77,file
,,,,,,,,,52.0,MAA,70826.0,71355.0,Mercedes,"OSE, W. Ferreira Aldunate 507",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,53.0,MAA,71356.0,71896.0,Mercedes,"Asoc. Rural, 18 de Julio 231",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,54.0,MAA,71897.0,72430.0,Mercedes,"Dpto. Acción Social y Familia, 18 de Julio y G¡ménez",400.0,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,55.0,MAA,72431.0,72963.0,Mercedes,"Hogar Estudiantil, 18 de Julio 280",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,56.0,MAA,72964.0,73453.0,Mercedes,"Centro Adolescentes, De Castro y Careaga 836",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,57.0,MAA,73454.0,73970.0,Mercedes,"Escuela No 46, Rivas 366",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,58.0,MAA,73971.0,74462.0,Mercedes,"Escuela No 46, Rivas 366",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,66.0,MAA,,,Mercedes,,400.0,,Urbano,77947.0,78411.0,"Escuela No 104, Giménez 797",S,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,67.0,MAA,,,Mercedes,,400.0,,Urbano,78412.0,78875.0,"Liceo G. Cardozo, Oribe 622",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,68.0,MAA,,,Mercedes,,400.0,,Urbano,78876.0,79342.0,"Liceo G. Cardozo, Oribe 622",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
